name,city,state,country,employees,founded,description
The Gloves,Birmingham,,United Kingdom,1-10 Employees,,"The Gloves, established in 1980 as Birmingham's first dedicated boxing shop, offers a wide range of boxing gloves and equipment, backed by years of experience and a commitment to quality service."
XMartial,Vancouver,,Canada,11-50 Employees,2020,"XMartial specializes in high-quality sport gear for combat sports, including a range of products like custom boxing gloves. The company's commitment to comfort and protection makes it a relevant source for boxing enthusiasts."
Vital Impact Protection Boxing Equipment,Manchester,,United Kingdom,1-10 Employees,2005,"The company specializes in high-quality boxing equipment, including a diverse range of boxing gloves suitable for both amateurs and professionals. Their products are crafted for durability and performance, with options that cater to different skill levels and budgets."
Bhutta Enterprises,Los Altos,,United States,51-100 Employees,2005,"The company specializes in high-quality boxing gloves, offering a variety of options including handmade and customized designs made from cowhide leather and other materials. They prioritize quality control and cater to international markets, ensuring customer satisfaction with features like different padding types and customizable designs."
SHIV NARESH SPORTS PVT. LTD. - India,New Delhi,,India,1001-5000 Employees,1987,"Shiv-Naresh is a prominent manufacturer of sports equipment in India, specializing in a variety of products, including boxing gloves. Their commitment to high-quality manufacturing ensures that athletes have access to top-notch training gear."
S.N Pride Sport,Sialkot,,Pakistan,501-1000 Employees,,"The company specializes in customized sportswear and is a recognized exporter of custom boxing gloves, ensuring high-quality products that meet international standards."
Mahr Overseas,Sialkot,,Pakistan,11-50 Employees,2016,"Mahr Overseas specializes in manufacturing and supplying a comprehensive range of boxing gear, including boxing gloves. Their commitment to quality and customer satisfaction ensures they meet the diverse needs of martial arts and boxing enthusiasts."
Century Martial Arts,United States,,United States,101-250 Employees,1976,"The company offers a Classic Boxing Glove that can be customized with your logo and is available in various weights (12, 14, or 16 oz), highlighting their commitment to quality through a rigorous testing process by martial artists."
Title Boxing,Lenexa,,United States,51-100 Employees,1998,"TITLE Boxing offers high-quality and innovative equipment, including their Pro Style Heavy Bag Gloves, designed to help athletes achieve their boxing goals."
RockyGears,Dallas,,United States,51-100 Employees,2018,"RockyGears specializes in the manufacturing and exporting of high-quality boxing gloves and other martial arts gear. With a commitment to customer satisfaction and a strong quality control system, they offer a variety of sparring boxing gloves, including customizable options."
