name,city,state,country,employees,founded,description
GreenHydrogenIndia,New Delhi,,India,251-500 Employees,,"The company is dedicated to advancing green hydrogen initiatives as a sustainable energy solution, playing a key role in climate change mitigation and the development of renewable energy technologies."
Plug Power,Town of Colonie,,United States,1001-5000 Employees,1997,"Plug is actively developing a comprehensive green hydrogen ecosystem, positioning itself as a leader in the transition to a net-zero economy. The company has established significant production capabilities, including the largest green hydrogen plant in the USA, and offers industry-leading electrolyzer products, making hydrogen an increasingly accessible and economical zero-carbon energy source."
HydrogenPro,Porsgrunn,,Norway,11-50 Employees,2013,"HydrogenPro is dedicated to advancing green hydrogen technology and systems, highlighting its commitment to the industry through the development of large-scale electrolysers that support the energy transition. Their innovative, cost-effective solutions position them as a key player in the move towards a sustainable future, leveraging expertise in high-pressure alkaline electrolysis."
Renewable Energy Systems,North Hertfordshire,,United Kingdom,1001-5000 Employees,1981,"The company is focused on decarbonizing industry through green hydrogen, aligning with its mission to transform energy production and consumption towards affordable zero carbon solutions. Their expertise in developing clean energy projects highlights their commitment to innovative and sustainable energy practices."
HyCC,Amersfoort,,Netherlands,51-100 Employees,2021,"HyCC is a prominent player in large-scale green hydrogen production, emphasizing its commitment to generating hydrogen from renewable electricity and water. With a strong foundation in industrial-scale electrolysis and operational experience, HyCC supports ""hard-to-abate"" industries in their transition to net-zero CO2 emissions."
Green Hydrogen Systems,Kolding,,Denmark,11-50 Employees,2007,"Green Hydrogen Systems specializes in the production of green hydrogen through their innovative pressurized alkaline electrolysers, which utilize renewable energy sources. Their commitment to decarbonization and the expansion of production facilities positions them as key players in the transition to sustainable energy solutions."
Hydrogen Gentech,India,,India,251-500 Employees,,"Hydrogen Gentech Private Limited (HGPL) is actively engaged in the development and supply of Green Hydrogen, highlighting its potential to replace fossil fuels across various sectors like energy, industry, and mobility. The company specializes in advanced technologies for hydrogen generation and purification, ensuring high purity levels and safe operations, positioning itself as a key player in the green hydrogen landscape."
Green Hydrogen Solutions™,London,,United Kingdom,1-10 Employees,,"The company specializes in providing Green Hydrogen solutions that are essential for the transition to Net Zero, emphasizing their commitment to reducing carbon emissions through innovative technologies. They utilize big data and AI to develop cost-effective projects that produce green hydrogen, making it a key player in advancing sustainable energy practices."
Bright Green Hydrogen Ltd.,Methil,,United Kingdom,1-10 Employees,,"Bright Green Hydrogen is involved in projects like the Levenmouth Community Energy Project and the Hydrogen Office Project, which are likely key to their focus on green hydrogen initiatives."
Hydrogen Central,Amsterdam,,Netherlands,1-10 Employees,,"Hydrogen Central is dedicated to advancing the hydrogen market, with a focus on both blue and green hydrogen. They highlight the importance of filtration technology in optimizing green hydrogen production and feature insights from industry leaders on innovations and developments in the sector."
