name,city,state,country,employees,founded,description
200° Coffee,Nottingham,,United Kingdom,101-250 Employees,2012,The company emphasizes its passion for coffee and offers hand-roasted coffee blends delivered directly to customers in mainland UK. They also provide options for wholesale and workplace coffee.
Eurocoffee UAE,United Arab Emirates,,United Arab Emirates,51-100 Employees,2000,"Eurocoffee is a leading distributor and supplier of coffee products in the UAE, specializing in coffee machines, grinders, and a variety of coffee beans and capsules, including Lavazza. They provide comprehensive coffee solutions for both commercial and office settings."
Coffee1,Bristol,,United Kingdom,501-1000 Employees,2001,"Coffee#1 is a provider of high-quality coffee, emphasizing a relaxing atmosphere crafted by skilled baristas, making it an ideal spot for enjoying ground coffee."
Green Farm Coffee,Broadland,,United Kingdom,11-50 Employees,,"Green Farm Coffee specializes in artisan coffee products, offering a diverse selection of slow-roasted ground coffee, including single-origin options and unique blends. They provide their products in 227g pack bags, catering to both wholesale clients and individual consumers."
Juan Valdez Café,Bogota Capital District - Municipality,,Colombia,1001-5000 Employees,2002,"Juan Valdez® Café is a prominent manufacturer and retailer of premium Colombian coffee, known for its high-quality ground coffee that highlights the craftsmanship of Colombian coffee growers. The company emphasizes manual collection and selection of coffee beans, ensuring a superior coffee experience."
O'Coffee,Pedregulho,,Brazil,251-500 Employees,1890,"The company is a prominent manufacturer and provider of Specialty Coffee, emphasizing its Direct Trade practices and commitment to sustainability. They offer a diverse range of coffee profiles, including Green Coffee and Export Coffee sourced from Brazilian estates."
Grinders Coffee,Melbourne,,Australia,251-500 Employees,1962,"Grinders Coffee specializes in sourcing, roasting, and delivering premium ground coffee, offering a wide variety of rich flavor coffee beans and capsules. With a focus on quality and sustainability, the company ensures an exceptional coffee experience through its master roasters and advanced technology."
Raw Coffee,Dubai,,United Arab Emirates,11-50 Employees,2007,"RAW Coffee Company specializes in ethically traded, organic coffee, offering high-quality ground coffee sourced from premium Arabica beans."
FreshGround,London,,United Kingdom,11-50 Employees,1982,"FreshGround has been dedicated to providing exceptional coffee experiences since 1982, offering a range of high-quality ground coffee options like their Fast Jazz Whole Bean Coffee, which features bold flavors and unique tasting notes. Their commitment to quality coffee enhances workplace culture and team well-being, making it a vital perk for any office environment."
Beans And Grind Inc.,Vaughan,,Canada,11-50 Employees,2014,"Beans And Grind is a prominent provider of coffee services, offering a diverse range of quality ground coffee from well-known brands like Starbucks and Lavazza, tailored for both business and home office environments. Their commitment to exceptional customer service ensures a premium coffee experience."
