name,city,state,country,employees,founded,description
Rhodium,London,,United Kingdom,51-100 Employees,2011,"Rhodium, founded by Dean Main, is a luxury residence management company with a substantial global portfolio of £12 billion, focusing on bespoke property and lifestyle management services for high-end homes in prime London areas."
Rhodium Group,New York,,United States,11-50 Employees,2008,"Rhodium Group specializes in providing data-driven projections of global emissions and temperature rise, making it a key resource for understanding critical economic and policy trends. Their interdisciplinary team of experts conducts rigorous research that informs decision-makers across various sectors."
Rhodium Creative 💙,London,,United Kingdom,1-10 Employees,2020,"Rhodium is a service provider that specializes in innovative digital and marketing campaigns, particularly for the charity sector, focusing on engaging audiences and inspiring action. Their expertise includes delivering national fundraising campaigns and creating award-winning digital products."
Rhodium Care Group,Lakewood Township,,United States,51-100 Employees,2022,"Rhodium Care Group specializes in providing tailored in-person mental health services for nursing homes and assisted living facilities. Their comprehensive support includes psychiatric care, emergency services, and case management, ensuring the well-being of residents."
"""METAKEM Gesellschaft für Schichtchemie der Metalle mit beschränkter Haftung""",Usingen,,Germany,11-50 Employees,1974,"METAKEM GmbH specializes in the production of ultrapure precious metal compounds, including rhodium, and offers a range of electroplating baths and electrolytes for various applications. With over forty years of experience, the company emphasizes its expertise in precious metals chemistry and electrochemistry."
Rhodium Analytics Inc,New York,,United States,1-10 Employees,2021,"Rhodium Analytics is a specialized service provider offering high-quality financial analysis and planning support, tailored for corporate finance managers and investment firms. Their experienced team delivers customized research and financial models, enhancing productivity and enabling clients to focus on strategic opportunities."
Umicore,Brussels,,Belgium,10001+ Employees,1904,"Umicore is a leading circular materials technology group that focuses on sustainable solutions, including the recycling of precious metals like rhodium. Their commitment to environmental sustainability and clean technologies highlights their innovative approaches in the recycling and applications of materials such as rhodium."
Stillwater Mining Company,Columbus,,United States,1001-5000 Employees,,"Sibanye-Stillwater is a leading international precious metals mining company with a diverse portfolio of operations and projects. The text notes that rhodium's use in glass manufacturing has significantly declined due to its high price, with palladium emerging as the primary alternative."
Atotech,Berlin,,Germany,1001-5000 Employees,1993,"Atotech is a leading specialty chemicals technology company that specializes in electroplating solutions, offering a range of products and services. Their Silvertech® RBH product provides a hard silver deposit ideal for connectors and bus bars, emphasizing reliable hardness and high productivity."
Rare World Metals Mint (RWMM),Cincinnati,,United States,1-10 Employees,2012,"Rhodium is highlighted as an exceptionally rare Platinum Group Metal, with RWMM offering it in the form of 1-gram bullion. This focus on rare metals provides collectors and investors access to unique materials that are not commonly available."
