name,city,state,country,employees,founded,description
Castings P.L.C.,Walsall,,United Kingdom,1001-5000 Employees,1835,"The company operates two iron foundries, providing advanced production facilities and technical expertise in metal casting."
Signicast,Hartford,,United States,501-1000 Employees,1959,"Signicast specializes in metal casting, particularly through investment casting, offering over 150 alloys and advanced facilities. With over 50 years of experience, they provide expert solutions for sectors like automotive and medical, addressing various manufacturing challenges efficiently."
Dynacast International,Charlotte,,United States,5001-10000 Employees,1936,"Dynacast, a Form Technologies Company, is a leading global manufacturer of precision metal components, specializing in multi-slide die casting technology. With over 80 years of experience, Dynacast provides high-quality die cast components for various industries, including automotive, consumer electronics, and healthcare."
Castings Technology International,United Kingdom,,United Kingdom,101-250 Employees,1923,"Castings Technology specializes in foundry manufacturing and offers extensive consultancy services to meet the metallurgical and manufacturing needs of the cast metals sector. With a state-of-the-art facility and a commitment to producing high-integrity metal castings, they emphasize casting as a superior option for near-net shape components."
Southern Cast Products Inc.,Jonesboro,,United States,51-100 Employees,,"Southern Cast Products is a prominent manufacturer in the metal casting industry, specializing in innovative casting solutions such as robocasting and rapid prototyping. With advanced technologies and a commitment to quality, the company provides a wide range of services to meet specific client requirements."
Fundición de precisión (a la cera perdida),Puebla City,,Mexico,51-100 Employees,1981,"MetalCast specializes in the industrial manufacturing of metal parts through the investment casting process, offering over 40 years of experience in creating custom metal components with minimal variations from design. Their comprehensive services include mold creation, machining, and surface treatment, ensuring high-quality products tailored to client specifications."
Finecast Foundry,Arun,,United Kingdom,51-100 Employees,2002,"The company specializes in complex high integrity castings, including various metals and alloys, and offers advanced manufacturing services like CNC machining and 3D printing. Their expertise in high-quality casting is particularly relevant for sectors such as automotive and aerospace."
Bradken,Newcastle-Maitland,,Australia,1001-5000 Employees,1920,"Bradken is a key player in the metal casting industry, specializing in custom castings for various sectors, including mining and construction. The company has enhanced its capabilities by acquiring a foundry in Peru, focusing on producing large steel mill liners."
Alcast Company LLC,Peoria,,United States,251-500 Employees,1970,"Alcast Company, a leading manufacturer of aluminum castings, specializes in high-quality brake caliper castings and porosity-free valve bodies. With extensive experience in various casting processes, including permanent mold and CNC machining, they are dedicated to providing superior aluminum casting products."
General Foundry Service,San Leandro,,United States,101-250 Employees,1946,"General Foundry Service specializes in high-quality precision aluminum and zinc-aluminum castings, offering multiple alloy choices and various casting processes. With over 70 years of expertise, they provide custom casting solutions and advanced prototyping services, ensuring tight tolerances and superior surface finishes."
