name,city,state,country,employees,founded,description
Comforter - კომფორტერი,Tbilisi,,Georgia,251-500 Employees,2018,"The company offers a diverse selection of bedroom furniture, including a variety of beds and wardrobes from multiple brands. Their extensive inventory ensures that customers can find high-quality options to suit their needs."
Summer Classics,Pelham,,United States,251-500 Employees,1978,"Gabriella White offers a range of luxury bedroom furniture, including beds, chests, nightstands, and dressers, designed to enhance aesthetic appeal and provide long-lasting comfort. Their collection features high-quality materials and sophisticated designs, ensuring durability and style for any bedroom setting."
South Shore Furniture,Sainte-Croix,,Canada,501-1000 Employees,1940,"South Shore Furniture specializes in producing a wide range of bedroom furniture, including trendy beds and various storage options, ensuring quality and style at affordable prices. Their collection reflects diverse styles, allowing customers to find pieces that match their personal taste and enhance their bedroom space."
H. M. Al Rugaib & Sons Trading Co. Ltd.,Al Khobar,,Saudi Arabia,251-500 Employees,1958,"The company offers a variety of bedroom furniture sets, including a complete king bedroom set that features a bed, dresser, mirror, chest, and nightstands, with prices starting at SR 1,027.70."
CareHomeLife,Chorley,,United Kingdom,11-50 Employees,1973,"CareHomeLife offers a wide variety of bedroom furniture suitable for all budgets and styles, making it a key supplier for care homes and healthcare facilities."
Bernhardt Industries,United States,,United States,501-1000 Employees,1889,"Bernhardt offers a stunning collection of luxury bedroom furniture, including a variety of sets that cater to different styles such as modern, traditional, and rustic. With options ranging from beds and headboards to dressers and nightstands, Bernhardt's designs emphasize fine craftsmanship and unique materials, allowing you to create a beautifully styled retreat."
"Dorel Home Furnishings, Inc.",United States,,United States,1001-5000 Employees,1977,"Ameriwood Home offers a variety of bedroom furniture, including the Queer Eye Farnsworth 6 Drawer Dresser, which provides ample storage with a modern design. This dresser features six drawers, durable construction, and a stylish finish that enhances any bedroom aesthetic."
Walker Edison,West Jordan,,United States,251-500 Employees,2006,"Walker Edison offers a variety of bedroom furniture, including modern dressers and nightstands, designed to enhance your living space with style and functionality. The company's commitment to innovative design ensures a diverse selection for those looking to furnish their bedrooms."
Style Furniture,East Lindsey,,United Kingdom,11-50 Employees,,"Style Furniture offers a stunning range of bedroom furniture, including beds, mattresses, wardrobes, and chest of drawers, designed to transform your space into a cozy haven. With over 40 years of experience, the company ensures quality products and excellent customer service, making it easy for you to find the perfect pieces for your bedroom."
Carpiture,Cairo,,Egypt,251-500 Employees,2016,"Carpiture offers a modern queen bedroom set, which includes a bed, closet, two nightstands, a dressing table, a hanger, and a buffet, all crafted from high-quality natural wood. This customizable furniture is designed for contemporary living and comes with a five-year warranty against manufacturing defects."
