name,city,state,country,employees,founded,description
Global Gold Metal eXchange,Johannesburg,,South Africa,1-10 Employees,1985,Global Gold is dedicated to fostering strong relationships with communities by creating wealth and sustainable job opportunities. The company also manufactures and distributes a wide variety of high-quality coins and jewelry.
Hartono Wira Tanik,Surabaya,,Indonesia,1001-5000 Employees,1988,"Hartono Wira Tanik (HWT) is a well-established gold jewelry manufacturer in Indonesia, known for its diverse collection of gold jewelry, including the popular Italy Chain design. The company utilizes advanced technology to create innovative designs that cater to both local and international markets."
Goldmoney,Canada,,Canada,11-50 Employees,2001,"Goldmoney specializes in precious metals investment, offering services such as bullion trading, custodial and storage solutions, and more. With a focus on safeguarding nearly $2.5 billion in precious metal assets, it positions itself as a key player in the precious metals market."
Rush Gold,Sydney,,Australia,11-50 Employees,2016,"Rush Gold is a FinTech company that provides digital access to real gold, allowing consumers to buy, send, and hold investment-grade gold directly in their name. With a focus on security and ease of use, Rush Gold enables customers to manage their gold assets through a mobile app, making it a convenient option for those looking to invest in gold as a hedge against inflation."
GoldMerchant,Irvine,,United States,11-50 Employees,,"GoldMerchant.com specializes in offering a wide range of newly minted, uncirculated pure gold bullion bars and coins, all accompanied by assay card certification that verifies their weight and purity. Their selection caters to various needs, including gifts, collections, and investments, with a strong emphasis on authenticity and integrity."
Golden Star Resources,Accra,,Ghana,1001-5000 Employees,1996,"Golden Star is a gold mining company that operates two producing mines in Ghana's Ashanti Gold Belt, focusing on underground gold mining and utilizing advanced technologies. With a production guidance of 195,000-210,000 ounces of gold, the company is well-positioned in the mining sector."
Swiss Gold™,Cairo,,Egypt,51-100 Employees,2016,"Swiss Gold Egypt offers a range of gold bars and coins of various weights, ensuring equal investment opportunities for all investors. As the official representative of Swiss Gold Company, they provide high-quality refined gold, adhering to international standards and regulations."
World Gold Council,London,,United Kingdom,51-100 Employees,1987,"The company, the World Gold Council, emphasizes gold's importance as a strategic asset and a vital part of a diversified investment portfolio. They provide extensive research and insights into the gold market, aiming to enhance understanding and stimulate demand for gold."
Gold 1,Dusseldorf,,Germany,11-50 Employees,,"Gold 1 is a manufacturer in the mining and metals sector, specializing in data management and oversight, which could be relevant for businesses involved in large-scale operations. Their advanced solutions ensure efficient handling of complex information, making them a key player in the industry."
GOLD AVENUE,Geneva,,Switzerland,11-50 Employees,2017,"GOLD AVENUE is an online retailer that specializes in selling physical gold and other precious metals, offering a range of products including Swiss-made PAMP® bars and coins. They provide services such as secure storage and the ability to resell without commission, making it easy for both collectors and investors to build and manage their gold savings."
