name,city,state,country,employees,founded,description
NAQEL Express,Riyadh,,Saudi Arabia,1001-5000 Employees,1993,"NAQEL Express is focused on becoming a leading logistics service provider in Saudi Arabia and the Middle East, which includes offering freight forwarding services."
Russian Railways Logistics,Russia,,Russia,251-500 Employees,2010,"Russian Railways Logistics specializes in organizing optimal multimodal transportation processes, including freight forwarding services that ensure efficient delivery from various locations. The company offers a comprehensive range of logistics services, including documentary support and customs clearance, streamlining the shipment process for clients."
Liberate Logistics Ltd.,Vancouver,,Canada,1-10 Employees,,"The company specializes in international freight forwarding, offering a robust network of partners and agents to ensure timely shipment by land, air, or sea. Their services include online tracking, quote review, POD collection, and invoice retrieval, all aimed at addressing clients' freight needs effectively."
Freight Forwarders Kenya Limited,Mombasa,,Kenya,1001-5000 Employees,1973,"Freight Forwarders Group is a prominent logistics company in East Africa that specializes in international freight forwarding and supply chain management, making it well-equipped to handle diverse logistics needs across various industries. Their extensive network and comprehensive services, including customs consultancy and certified transport solutions, underscore their expertise in providing tailored logistics solutions."
Forward Air Corporation,Greeneville,,United States,1001-5000 Employees,1993,"Forward specializes in simplifying surface shipping for businesses, offering a reliable and cost-effective alternative to air transport. With over 40 years of experience, they provide a comprehensive range of ground transportation services, including expedited LTL and full truckload, catering to the unique needs of the wholesale transportation community."
Flexport,San Francisco,,United States,1001-5000 Employees,2013,"Flexport's platform streamlines global trade by connecting all participants in the supply chain, making it easier for businesses to manage logistics from the factory to the customer's door. This integration empowers companies to enhance their shipping capabilities and expand their market reach."
Farrow,Canada,,Canada,1001-5000 Employees,1911,"Farrow is a highly regarded provider of international freight forwarding services, known for its exceptional personalized attention and customized solutions. With a focus on compliance and innovative freight management strategies, Farrow helps clients navigate the complexities of global trade, making it a trusted partner for both new and experienced importers."
20Cube Logistics,Singapore,,Singapore,501-1000 Employees,2011,"The company offers a comprehensive freight forwarding service with a robust network across 12 countries, ensuring smooth shipment movement and effective handling of complex logistics challenges. Their digitized logistics processes provide real-time insights and high visibility, enhancing the overall freight management experience for customers."
Western Freight Shipping Line,London,,United Kingdom,51-100 Employees,1991,"Western Freight Forwarding Shipping is dedicated to providing timely and cost-efficient freight forwarding services, utilizing custom-built software and a robust communication system to track shipments at every stage. Their experienced ocean freight professionals and innovative air freight solutions ensure that they meet diverse shipping needs effectively."
Fracht USA,Houston,,United States,1001-5000 Employees,1955,"The Fracht Group is an international freight forwarder, providing general and specialized logistics solutions, and operates as both an NVOCC and a traditional freight forwarder. With a global presence and extensive experience, the company has successfully managed a significant volume of freight annually."
