name,city,state,country,employees,founded,description
MGM Electric Ltd.,Canada,,Canada,11-50 Employees,1987,"MGM Electric, a division of Sonepar Canada, specializes in customized electrical solutions and maintains a large inventory of electrical products, making it a key player in power distribution for Thunder Bay and North Western Ontario."
Schneider Electric Norge,Rueil-Malmaison,,France,10001+ Employees,,"Schneider Electric specializes in energy management and automation, offering a comprehensive range of power distribution solutions, including their innovative SF₆-free AirSeT switchgear. Their focus on sustainability and smart grid technologies positions them as a key player in optimizing electrical distribution systems for a low-carbon future."
UK Power Networks,London,,United Kingdom,1001-5000 Employees,2010,"UK Power Networks is a key player in power distribution, managing extensive electricity networks that deliver reliable power to over 8.3 million customers. They focus on upgrading power infrastructure and integrating renewable energy solutions, ensuring a sustainable and efficient energy supply."
Panduit,Tinley Park,,United States,5001-10000 Employees,1955,"Panduit specializes in innovative electrical solutions, including the FMPS, a Class 4 power system that ensures efficient power delivery. Their Intelligent Power Distribution Units (iPDUs) enhance network and power visibility, supporting sustainability efforts."
"C & C Power, Inc.",Carol Stream,,United States,11-50 Employees,1993,"C&C Power, Inc. specializes in power distribution systems, particularly for large DC applications, making it ideal for telecom hotels and web hosting. Their modular busbar design and advanced control features ensure flexible and efficient power distribution tailored to specific needs."
PAR Electrical Contractors,Kansas City,,United States,1001-5000 Employees,1954,"PAR is a national leader in outside electrical construction, specializing in the construction, installation, repair, and maintenance of power distribution systems, including both overhead and underground lines. With extensive experience and a commitment to safety and quality, the company provides innovative solutions tailored to the complexities of the power industry."
Power Distributors,Columbus,,United States,251-500 Employees,2014,"Power Distributors specializes in supply chain solutions, including distribution and fulfillment, which are essential for effective power distribution. With a robust network and advanced distribution centers, the company ensures efficient connectivity between products and consumers."
Network Plus,West Oxfordshire,,United Kingdom,1001-5000 Employees,2000,"Network Plus specializes in providing power infrastructure services to the UK's Distribution Network Operators (DNOs), offering a comprehensive range of solutions including underground cabling and overhead line works up to 132kV. Their expertise ensures efficient delivery for various projects such as maintenance, asset replacement, and customer connections."
CitiPower and Powercor,Melbourne,,Australia,1001-5000 Employees,,"CitiPower and Powercor are key electricity distribution network operators in Victoria, providing safe and reliable power to over 1.2 million customers. They play a crucial role in integrating renewable energy sources, supporting the transition to a sustainable energy future."
Integrated Power Services,Greenville,,United States,1001-5000 Employees,2007,"IPS is a specialist in power distribution, offering a wide range of remanufactured and reconditioned equipment, including circuit breakers and switchgear, which supports sustainability efforts by keeping surplus electrical equipment out of landfills. Their services enhance the reliability of critical infrastructure across various industries, making them a key player in power management systems."
