name,city,state,country,employees,founded,description
TomTom,Amsterdam,,Netherlands,1001-5000 Employees,1991,"TomTom is a technology company specializing in geolocation data and mapping solutions, offering a suite of products that enhance location intelligence through detailed maps, geocoding, and traffic insights. Their focus on real-time location data and analytics supports various industries, making it a key player in the realm of location-based services."
GeoIQ,Bengaluru,,India,11-50 Employees,2018,"GeoIQ is a locational intelligence platform that analyzes various locations to provide insights into their value by examining people, behaviors, and businesses. The platform enhances understanding of locational data through easily consumable map layers, making it a valuable resource for real-time location intelligence."
Esri Canada,Canada,,Canada,251-500 Employees,1984,"Esri Canada is a prominent provider of GIS solutions that emphasizes location intelligence through its software and services. Their offerings support various applications, including asset management and urban planning, helping organizations leverage spatial analytics for effective resource management and digital transformation."
Lepton Software,Gurugram,,India,101-250 Employees,1994,"Lepton is a prominent provider of location intelligence solutions, offering advanced analytics and geospatial consulting services that empower businesses to make informed decisions through actionable insights. Their innovative products, such as SmartMarket and NetworkAccess, leverage technologies like AI and Big Data to enhance operational efficiency across various sectors, including telecommunications, logistics, and government."
GeoIQ.io,Bengaluru,,India,11-50 Employees,2019,"GeoIQ is a location intelligence platform that provides access to a vast array of data attributes for informed decision-making, particularly in retail site selection and optimization. Their services leverage advanced technologies and offer real-time insights, enabling businesses to visualize and act on data-driven strategies for expansion."
HERE Technologies Chicago,Chicago,,United States,1001-5000 Employees,2012,"HERE Technologies is a prominent location data and technology company that emphasizes the importance of location intelligence in enhancing consumer experiences, particularly in the automotive sector. Through its HERE Marketplace, HERE integrates PlaceIQ's location data solutions, providing marketers and businesses with valuable insights into consumer behavior and foot traffic patterns, essential for developing targeted strategies and innovative applications."
SS8 Networks,Milpitas,,United States,51-100 Employees,1994,"SS8 specializes in location intelligence for telecommunications, offering solutions that provide real-time forensic insights and actionable intelligence to law enforcement and government agencies. Their products, like Xcipio and Intellego XT, enhance monitoring capabilities and support regulatory compliance for mobile network operators."
Location Inc,Worcester,,United States,11-50 Employees,2000,"Location, Inc. is a prominent provider of location-based technologies and Big Data analytics, offering SaaS products and mapping tools that facilitate risk assessment, site selection, and market analysis. Their comprehensive location intelligence data supports informed decision-making for corporate clients, including Fortune 500 companies, by providing insights into crime risk, school ratings, and real estate values."
INRIX,Kirkland,,United States,501-1000 Employees,2005,"INRIX offers a powerful Location Analytics application that provides businesses with comprehensive mobility insights to facilitate data-driven decision-making. This cloud-based solution enables users to easily find and analyze important locations, understand consumer behavior, and optimize investment strategies through detailed location-based information and key metrics."
LocationIQ,Milpitas,,United States,11-50 Employees,,"LocationIQ specializes in providing affordable and scalable location-based services, including geocoding, mapping, and routing, making it a strong contender in the location intelligence sector. Their robust APIs, powered by OpenStreetMap data, enable seamless integration of geolocation data into applications, catering to a wide range of use cases from asset tracking to business intelligence."
