name,city,state,country,employees,founded,description
Coyote Logistics,Chicago,,United States,1001-5000 Employees,2006,"Coyote Logistics offers a robust solution for refrigerated trucking with access to 20,000 refrigerated carriers in their network, ensuring temperature-sensitive freight can be transported effectively across the nation. Their commitment to smarter supply chain solutions positions them as a trusted partner for businesses needing reliable refrigerated transport."
Freymiller,United States,,United States,501-1000 Employees,1968,"Freymiller Trucking specializes in refrigerated trucking, having a long-standing commitment to hauling temperature-controlled freight since 1980. With a focus on customer satisfaction and efficiency, they provide reliable refrigerated shipping solutions for time-sensitive cargo."
FFE Transportation Services,Lancaster,,United States,1001-5000 Employees,1946,"Frozen Food Express is a leading provider of temperature-controlled transportation services, specializing in Less than Truckload (LTL) shipping for frozen and cooler shipments across North America. With advanced equipment and a professional team, they ensure reliable cold chain logistics, including both warehousing and transportation."
Refrigafreighters Limited,New Zealand,,New Zealand,51-100 Employees,1982,"Refrigafreighters is a leading New Zealand carrier specializing in refrigerated trucking, with a well-maintained fleet of 174 purpose-built trucks and trailers designed for transporting chilled and frozen goods. Their commitment to temperature monitoring and vehicle tracking ensures that freight is meticulously cared for throughout the entire journey."
ArcBest Corporation,Fort Smith,,United States,10001+ Employees,1923,"ArcBest offers specialized refrigerated shipping services that ensure the integrity of your freight during transport, preventing freezing and maintaining optimal temperatures."
Midwest Refrigerated Services,Milwaukee,,United States,251-500 Employees,,"Midwest Refrigerated Services specializes in refrigerated trucking, offering comprehensive logistics solutions for the food industry. They operate a large fleet and provide various services, including cold storage and refrigerated transport, ensuring safe and timely delivery of products."
"Transport Refrigeration, Inc.",De Pere,,United States,51-100 Employees,1964,"Transport Refrigeration, Inc. is a factory authorized dealer for Thermo King Corporation, specializing in transportation refrigeration needs, including refrigerated trailer rentals. They also offer wireless monitoring solutions to enhance access to information for the transportation industry."
Perishable Distribution Solutions,Forest Park,,United States,51-100 Employees,2000,"PDS specializes in refrigerated trucking and cold storage, offering the capability to store temperature-sensitive products ranging from -10 to 35 degrees. They provide reliable transportation services, including LTL freight logistics, ensuring efficient delivery for perishable goods."
Grupo Mazo,Alzira,,Spain,251-500 Employees,1933,"The company specializes in refrigerated trucking, offering temperature-controlled logistics for the perishable food sector. With a fleet of over 1,000 trucks and a focus on both national and international transport, they provide bi-temperature trucks and full load transport, ensuring high-quality services and exceptional customer care."
Freedom Trans USA,Gainesville,,United States,51-100 Employees,,"Freedom Trans USA specializes in refrigerated trucking, providing logistics and transportation solutions for temperature-controlled freight, from fresh to deep-frozen products. With a diverse array of services and a commitment to reliable delivery, the company ensures confident and timely shipments for its customers."
