name,city,state,country,employees,founded,description
Ellicott Dredges,Baltimore,,United States,101-250 Employees,1885,"Ellicott Dredges is a leading manufacturer of innovative dredging equipment, specializing in small and medium-sized cutter suction dredges used in various applications like sand mining, harbor maintenance, and environmental clean-ups. With over 2000 dredges designed and a commitment to quality, Ellicott Dredges offers a range of products including portable cutterhead suction dredges and booster pumps."
Van Oord,Rotterdam,,Netherlands,1001-5000 Employees,1868,"Van Oord is a prominent international contractor that specializes in dredging and marine engineering, offering innovative solutions for various maritime challenges. Their expertise in dredging equipment is highlighted by their investment in advanced machinery, ensuring effective project delivery in areas like coastal reconstruction and land reclamation."
Leader Dredger,Port-Harcourt,,Nigeria,251-500 Employees,1986,"The company specializes in manufacturing customized Cutter Suction Dredgers designed to enhance technical performance for efficient dredging operations. Their range of dredging equipment includes various types of dredgers tailored for applications in mining, port construction, and environmental remediation."
Dredging Solutions Pty Ltd,Sydney,,Australia,11-50 Employees,2010,"Dredging Solutions Pty Ltd specializes in providing comprehensive services for dredging, offering a variety of products and innovative solutions tailored for effective water management. Their expertise and range of technologies make them a key player in the marine and construction industries."
Union Dredgers & Marine Cont Co LLC,Dubai,,United Arab Emirates,251-500 Employees,2007,"Union Dredgers and Marine Contracting (UDMC) provides a wide range of dredging equipment, including DOP 3025 submersible dredging pumps and Dragflow submersible dredging pumps, ensuring they can effectively meet diverse marine contracting needs. With a focus on engineering excellence and a dedicated fleet, UDMC is well-equipped to handle various dredging projects."
GEOSEA NV,Zwijndrecht,,Belgium,1001-5000 Employees,2005,"DEME is a prominent contractor in dredging, operating one of the largest and most advanced fleets, including the cutter suction dredger 'Spartacus,' which highlights its focus on innovative and sustainable dredging solutions."
Wasa Dredging,Vaasa,,Finland,51-100 Employees,1985,"Wasa Dredging specializes in the design and production of advanced dredging equipment, including self-propelled barges and tools for various dredging methods. With over 35 years of experience, the company focuses on capital and maintenance dredging, ensuring they have the right tools for both hard and soft soil conditions."
Muddy Water Dredging LP,United States,,United States,1-10 Employees,2022,"The company specializes in dredging services and highlights its custom-built 24-inch Marlin Class dredge, which offers efficiency and reliability by minimizing downtime and completing large areas quickly. This focus on operational performance and innovation ensures that projects are finished safely and effectively."
TRODAT (Shandong) Marine Engineering Co. Ltd.,Jinan,,China,51-100 Employees,,"TRODAT (Shandong) Marine Engineering Co., Ltd. specializes in manufacturing a variety of dredging equipment, including cutter suction dredgers, bucket wheel dredgers, and suction dredgers, making it a key player in aquatic engineering. With over 20 years of experience, the company emphasizes high-quality, innovative designs that meet international standards, particularly targeting regions in need of infrastructure development."
Weeks Marine Inc.,Cranford,,United States,1001-5000 Employees,1919,"Weeks Marine, Inc. is a prominent player in the dredging industry, offering a comprehensive range of services and a specialized fleet of advanced dredging equipment. Their commitment to investing in new and upgraded machinery ensures they effectively manage diverse projects across various regions."
