name,city,state,country,employees,founded,description
AGRODUR Grosalski GmbH & Co. KG,Bad Berleburg,,Germany,,,"Agrodur is a leading supplier of precision plastic components for automotive and industrial applications, including suspension parts, connectors, housings, and coil insulation components, delivering high-performance solutions from design to series production."
Suspensys,Caxias do Sul,,Brazil,501-1000 Employees,1997,"The company, Suspensys, likely specializes in suspension systems, as indicated by its name."
Specialized Bicycle Components,Morgan Hill,,United States,501-1000 Employees,1974,"The company emphasizes its commitment to innovation and enhancing the cycling experience, which is directly relevant to the concept of suspension in bicycles. Their history of responding to riders' needs suggests a focus on developing advanced suspension systems for improved performance and comfort."
ADR SpA,Uboldo,,Italy,501-1000 Employees,1954,"ADR SpA is a manufacturer that specializes in suspensions for agricultural machines, offering a diverse range of products including mechanical, hydraulic, and pneumatic suspensions."
Ohlins Racing A.B,-,,-,,,"The company offers a range of original equipment (OE) suspension products, including those for the Tesla Model 3 (2017-2022), highlighting their extensive application across various vehicle models."
WP Suspension GmbH,Mattighofen,,Austria,251-500 Employees,,"WP Suspension specializes in high-performance motorcycle suspension systems, recently launching innovative aftermarket PRO COMPONENTS designed to enhance performance for riders. Their commitment to innovation and technology ensures that both racers and leisure riders can achieve their highest levels of performance."
Monroe® Intelligent Suspension,Sint-Truiden,,Belgium,1001-5000 Employees,,"The company specializes in designing and manufacturing custom suspension solutions, partnering with leading OEMs like McLaren Automotive to enhance vehicle performance. Their Monroe Intelligent Suspension system, particularly the CVSA2/Kinetic® H2, is featured in the McLaren 750S supercar, offering superior performance and comfort."
Next Generation Scaffold Services Inc.,Deer Park,,United States,11-50 Employees,2010,"Next Generation Scaffold Services Inc. (NextGen) emphasizes safety in the scaffold industry through its innovative products and services. Their offerings include a suspension connector, which is likely designed to enhance the safety and effectiveness of scaffolding systems."
PRP Seats,Temecula,,United States,51-100 Employees,1997,"PRP Seats specializes in creating high-quality suspension seats designed to enhance comfort during off-road adventures. Their innovative design reduces impact and prevents discomfort, making longer rides more enjoyable."
XSPlatforms B.V.,Gorinchem,,Netherlands,101-250 Employees,2000,"XSPlatforms provides innovative fall protection solutions, including a Suspended Platform Module, ensuring safety for those working at height."
