name,city,state,country,employees,founded,description
NSW Health Pathology,Newcastle-Maitland,,Australia,5001-10000 Employees,2011,"NSW Health Pathology is a key player in the field of microbiology, conducting over 61 million tests annually, which are crucial for medical decision-making."
Microbiology Specialists Incorporated,Houston,,United States,11-50 Employees,1984,"Microbiology Specialists Incorporated, located near the Texas Medical Center in Houston, Texas, is dedicated to providing reliable and accurate microbiological results. They offer a wide range of services, including clinical and environmental microbiology, which are essential for successful microbial investigations and studies."
Liofilchem,Roseto degli Abruzzi,,Italy,51-100 Employees,1983,"Liofilchem has been dedicated to producing high-quality bacteriology products since 1983, serving clinical and industrial microbiology laboratories in over 130 countries. Their product range includes microbial identification systems, susceptibility testing systems, and various culture media, all manufactured in compliance with international standards for in-vitro diagnostics."
Microbio Laboratory,Thane,,India,1-10 Employees,2005,"Microbio Laboratory is an ISO 9001:2015 certified facility that specializes in various microbiological testing services. They also offer training and consultancy in microbiology, making them well-equipped to meet the needs of industries such as cosmetics, food, pharmaceuticals, and more."
Microbiological Laboratory,Coimbatore,,India,251-500 Employees,1977,"The Microbiological Laboratory is a key player in clinical laboratory services, with a strong focus on Molecular Diagnostics and Infectious Diseases, making it highly relevant for microbiology inquiries. Their extensive range of tests and commitment to innovative diagnostic practices underscore their expertise in this field."
Health Services Laboratories,London,,United Kingdom,1001-5000 Employees,2015,"Health Services Laboratories (HSL) offers a comprehensive microbiology service within its Infection Sciences department, providing both routine and specialized diagnostics, including expertise in conventional and molecular microbiology. The laboratory operates 24/7 and is UKAS accredited, ensuring high-quality standards and innovative solutions for various clinical needs, including those related to transplantation and infection diagnostics."
Link Lab Ltd,Glyka Nera Municipal Unit,,Greece,11-50 Employees,1998,LINK LAB LTD offers a range of microbiological laboratory services and has been a leader in scientific laboratories since 1998.
Rapid Test Methods (rapidmicrobiology.com),Cork,,Ireland,1-10 Employees,2003,"This site serves as a valuable resource for the latest news and products for microbiology testing laboratories, offering guides and listings of suppliers for various microbiological tests. Their team of experts is available to assist in developing testing processes and sharing knowledge on important microbiology topics."
MicroGenDX,Lubbock,,United States,101-250 Employees,2008,"MicroGenDX specializes in advanced microbial DNA testing for infectious diseases, utilizing qPCR and next-generation sequencing (NGS) technologies to detect a wide range of microorganisms more effectively than traditional methods. Their accredited laboratory services play a crucial role in diagnosing chronic and life-threatening infections, significantly enhancing patient care."
Microbio,Greater Brisbane,,Australia,1-10 Employees,2019,"Microbio is a biotechnology company that specializes in developing advanced diagnostic tools, particularly for identifying pathogens related to sepsis and other infections. Their flagship product, the InfectID™-BSI test, utilizes innovative qPCR assays to rapidly detect multiple sepsis-causing pathogens, showcasing the company's expertise in molecular microbiology and pathogen identification."
