name,city,state,country,employees,founded,description
Nomad Foods,London,,United Kingdom,1001-5000 Employees,2015,"Nomad Foods is the largest frozen food company in Europe, owning well-known brands like Birds Eye, Findus, and iglo. They manufacture and distribute a diverse range of frozen food products across 13 European countries."
Harvest Food Distributors,San Diego,,United States,501-1000 Employees,1989,"Harvest Food Distributors, originally founded as Harvest Meat Company, emphasizes providing a wide selection of protein items, including frozen foods, to independent food companies. Their commitment to customer service and reliable delivery has made them a key player in the frozen foods market."
Frozen Fish International Gmbh,Bremerhaven,,Germany,501-1000 Employees,,"Frozen Fish International GmbH is a key player in the frozen food industry, particularly known for its high-quality frozen seafood products that meet Marine Stewardship Council (MSC) certification standards."
FFE Transportation Services,Lancaster,,United States,1001-5000 Employees,1946,"Frozen Food Express is a prominent provider of temperature-controlled transportation services, specializing in frozen and cooler shipments throughout North America. With advanced equipment and a dedicated team, the company ensures reliable cold chain logistics, making it a key player in the frozen foods industry."
A TO Z CATERING SUPPLIES LIMITED,London,,United Kingdom,51-100 Employees,1999,"AtoZ Catering offers a wide range of quality frozen foods, demonstrating their capability to quickly source new products to meet client requirements. Their commitment to competitive pricing and dependable service enhances their appeal as a supplier for frozen food products."
Superior Foods,Watsonville,,United States,101-250 Employees,1977,"Superior Foods International is a global supplier of frozen fruits, vegetables, and grains, serving various markets including retail and foodservice. With a commitment to quality and innovation, the company sources a diverse range of products, ensuring year-round availability."
Freshview Foods Ltd,Stoke-on-Trent,,United Kingdom,251-500 Employees,2010,"Freshview Foods offers a comprehensive range of frozen foods, catering primarily to the foodservice industry. The company emphasizes high-quality products and outstanding customer service, ensuring a reliable supply of frozen goods."
Quality Frozen Foods Inc.,New York,,United States,51-100 Employees,1976,"Quality Frozen Foods is a prominent kosher food manufacturer that has been operational since 1976, specializing in high-quality frozen products. Their Brooklyn warehouse is a bustling center for receiving and shipping a wide range of frozen goods, ensuring a consistent supply for their customers."
Foods and Inns Ltd,Mumbai,,India,501-1000 Employees,1940,"Foods and Inns Ltd is a prominent manufacturer of frozen fruit purees and IQF vegetables and snacks, highlighting its expertise in the frozen foods sector. With advanced production facilities and a significant export operation, the company ensures high-quality processed fruit and vegetable products."
Econo Foods Pty (LTD),Bloemfontein,,South Africa,1001-5000 Employees,1997,"The company is a food service distributor that specializes in frozen and chilled products, offering a wide variety of groceries. With a commitment to quality and timely service, they ensure same-day delivery for orders placed before 13:00 in selected areas."
