name,city,state,country,employees,founded,description
TECO Peoples Gas,Tampa,,United States,501-1000 Employees,1895,"Peoples Gas is a leading provider of natural gas solutions in Florida, offering efficient and reliable distribution for residential and business customers. The company emphasizes clean energy, including renewable and compressed natural gas, to promote energy conservation and reduce emissions."
Metrogas S.A B-1 Vtg,Mexico,,Mexico,1001-5000 Employees,1992,"MetroGAS is a leading natural gas distribution company in Argentina, emphasizing safety and providing useful tips for safe gas usage. They also facilitate the transfer of gas service ownership and offer convenient methods for bill payment and account management."
Atlanta Gas Light,Atlanta,,United States,1001-5000 Employees,1856,"Atlanta Gas Light provides natural gas delivery to over 1.6 million customers in Georgia and offers rebate opportunities for upgrading to high-efficiency natural gas appliances, highlighting their commitment to energy savings."
FortisBC,Surrey,,Canada,1001-5000 Employees,1897,"The company, FortisBC, provides safe and cost-effective natural gas, including Renewable Natural Gas, to 1.2 million customers across the province. They emphasize their commitment to a lower-carbon energy future by expanding their renewable gas supply and offering innovative solutions for energy efficiency."
Virginia Natural Gas,Virginia Beach,,United States,251-500 Employees,,"Virginia Natural Gas, a subsidiary of Southern Company Gas, is committed to delivering safe and reliable natural gas."
Calor,Warwick,,United Kingdom,1001-5000 Employees,1935,"Calor is a preferred off-grid gas supplier for over 100,000 customers, highlighting its significance in the natural gas market."
Black Hills Energy,Rapid City,,United States,1001-5000 Employees,1883,"Black Hills Energy emphasizes its commitment to providing reliable energy, which suggests a focus on sustainable energy solutions for the future."
SGN,Reigate and Banstead,,United Kingdom,1001-5000 Employees,2005,"The company is focused on delivering gas reliably and affordably, emphasizing its commitment to innovation and a cleaner, greener future for the UK. With over 85 years of experience, they are involved in research projects that aim to enhance the sustainability of gas delivery."
AG&P,Muntinlupa,,Philippines,1001-5000 Employees,1900,"The company specializes in developing LNG import and regasification facilities, as well as city gas networks, effectively distributing natural gas to various sectors including power, industry, and domestic use. Their services encompass the entire lifecycle of gas infrastructure projects, ensuring the delivery of clean energy through innovative technology and logistics."
Northwest Natural Holding Company,Portland,,United States,1001-5000 Employees,1859,"NW Natural is a local natural gas distribution company that provides safe and reliable energy to approximately 2.5 million customers in Oregon and Southwest Washington. They offer gas installation services and support for businesses, ensuring a smooth process for natural gas projects."
