name,city,state,country,employees,founded,description
PropTech Solutions,Mississauga,,Canada,51-100 Employees,1997,"PropTech Solutions is dedicated to empowering real estate businesses with innovative tools that accelerate growth, highlighted by their record year in product releases and recognition as a top PropTech solution provider. Their iBroker software and integrations with platforms like DocuSign and Matterport showcase their commitment to providing flexible and user-friendly technology for the real estate sector."
PropTrack,Melbourne,,Australia,1001-5000 Employees,1995,"PropTrack offers advanced automated valuation services that can significantly enhance the loan application process by providing quick and efficient property assessments. With its powerful cloud-based platform and extensive residential data, PropTrack empowers businesses with valuable market insights and streamlined workflows throughout the property lifecycle."
LandTech,London,,United Kingdom,51-100 Employees,2010,"LandTech is the fastest-growing PropTech company in the UK, revolutionizing property development through innovative tools like the LandInsight GO mobile app, which enhances site assessment and collaboration for property developers. With a focus on unifying property data and streamlining the industry, LandTech is committed to accelerating planning approvals and supporting over 1500 companies in their property endeavors."
Du Val Global,London,,United Kingdom,51-100 Employees,,"MyPropTech is a platform designed to empower small investors by providing advanced property analysis and exclusive access to new build properties. With features like MyPropTech Dynamic Pricing™, members can make informed investment decisions and maximize their return on investment."
PropTech Connect,London,,United Kingdom,11-50 Employees,2022,"PropTech Connect is a key player in the Real Estate sector, facilitating innovation through technology solutions and partnerships. They are set to host a major event in London in 2023, bringing together industry executives to support digital transformation and investment in emerging technologies."
Propline,Kâğıthane,,Turkey,251-500 Employees,2021,"Propline is a property technologies company focused on transforming the property investment industry through a comprehensive digital platform that integrates real estate brokerage and property management services. Their aim is to empower clients throughout the investment process, offering personalized consultancy and streamlined processes for citizenship, residency, and insurance."
PropTech Consulting,New York,,United States,1-10 Employees,2020,"PropTech Consulting positions itself as a key player in the digital transformation of the real estate industry, offering technology solutions and consulting services that empower leadership with technical knowledge and strategic relationships. Their focus on innovative strategies and digital twin development highlights their commitment to advancing PropTech."
PropTech Lab (Belgium),Brussels,,Belgium,1-10 Employees,2017,"The company, PropTech Lab, is dedicated to driving innovation and facilitating the digital transformation of the real estate and construction sectors in Belgium."
ProptechZoom.com (Hungary),Hungary,,Hungary,1-10 Employees,2021,"Proptech Zoom Hungary is dedicated to facilitating the digital transformation of the real estate market through services like concept creation, market research, and strategic consulting. They work closely with local real estate companies and proptech organizations to promote the adoption of digital solutions and share insights on key trends impacting the sector."
Proptech Africa Association,Johannesburg,,South Africa,1-10 Employees,2019,"Proptech Africa is a leading international community that fosters technological innovation in the real estate sector, particularly focusing on the proptech ecosystem in East Africa. The company organizes major conferences and collaborates with academic institutions to promote tech adoption and facilitate networking among industry professionals and investors."
