name,city,state,country,employees,founded,description
Fero.Ai,Dubai,,United Arab Emirates,51-100 Employees,2018,"Fero is dedicated to addressing the challenges of logistics and freight management through its automated distribution system, which enhances operational efficiency and data generation. Their focus on Robotic Automation Software and Artificial Intelligence aims to increase business efficiency and reduce costs within the logistics sector."
Element Fleet Management,Canada,,Canada,1001-5000 Employees,1946,"Element Fleet is a market leader in fleet management, offering solutions that enhance safety, productivity, and efficiency. Their capabilities are designed to reduce the total cost of fleet operations, making them a valuable resource for effective fleet management."
FleetUp,San Jose,,United States,101-250 Employees,2013,"FleetUp offers a robust cloud fleet management software that enhances real-time monitoring, helping businesses reduce costs and improve operational efficiency. Their focus on safety and sustainability aligns with the goal of optimizing fleet performance and reducing environmental impact."
Webfleet Solutions,Leipzig,,Germany,251-500 Employees,2004,"Webfleet offers fleet management software designed to enhance efficiency, support drivers, reduce costs, save time, and improve safety."
fleetx.io,Gurugram,,India,101-250 Employees,2017,"Fleetx is a leading fleet and logistics optimization platform dedicated to enhancing the safety and efficiency of fleet management through digitization and advanced technologies like AI and IoT. Their mission is to empower organizations to streamline operations, ultimately increasing productivity and reducing costs."
Merchants Fleet,Hooksett,,United States,251-500 Employees,,"Merchants Fleet® specializes in fleet management and vehicle leasing, offering a range of customizable solutions for businesses. With over 160,000 managed vehicles and over 60 years of experience, they provide innovative FleetTech services, fleet consulting, and financial services to optimize fleet performance."
Element Fleet Management México,Mexico,,Mexico,1001-5000 Employees,2010,"Element Fleet Management is a prominent global provider of fleet management services, offering comprehensive solutions throughout the asset lifecycle, including acquisition, financing, maintenance, and resale of various vehicles. Their extensive services enhance fleet productivity and efficiency through effective management and strategic consulting."
Fleet Complete,Markham,,Canada,501-1000 Employees,2000,"Fleet Complete offers transformative fleet management solutions that connect businesses to a comprehensive mobility platform. Their GPS tracking software enhances operational efficiency, reduces fuel costs, and improves safety, ensuring that fleet owners have the tools they need to optimize their operations and profitability."
FleetLogix Inc.,San Diego,,United States,5001-10000 Employees,2012,"FleetLogix specializes in fleet management, offering engaged management and engineered efficiency that allows businesses to concentrate on their core objectives and revenue growth. Their comprehensive services include transportation and labor management, all designed to enhance operational effectiveness."
VR FleetCare,Helsinki,,Finland,1001-5000 Employees,2019,"VR FleetCare specializes in fleet management for railway rolling stock, offering efficient maintenance and modernization services. Their Digital Fleet Management System provides a transparent and effective solution for managing and optimizing fleet performance."
