name,city,state,country,employees,founded,description
Blinds By Design,Congleton,,United Kingdom,1-10 Employees,,"Blinds By Design specializes in a wide range of bespoke window blinds, particularly from Luxaflex and Sunway, aimed at enhancing room aesthetics and controlling natural light. With over 30 years of experience, the company emphasizes quality and professional installation, ensuring customer satisfaction in every project."
Blind Designs Commercial,Johannesburg,,South Africa,51-100 Employees,,"Blind Designs specializes in a diverse array of window coverings, offering various types of blinds such as Roller Blinds, Venetian Blinds, and Outdoor Blinds, along with automation and fabric swatching services to elevate both style and functionality in different environments."
Blinds To Go,Paramus,,United States,501-1000 Employees,1954,"Blinds To Go specializes in custom-made blinds, offering a wide selection of natural and faux wood blinds that enhance the beauty of any space. With over sixty years of experience, the company ensures fast delivery, customization, and a lifetime warranty on all products, making it a great choice for those seeking quality window treatments."
Shutter Company,Richmond,,United States,1-10 Employees,1990,"The company specializes in high-quality, custom-made window treatments, including a diverse selection of wood and faux wood blinds. Their products are designed to enhance both style and functionality, offering personalized solutions to meet individual preferences and budgets."
Bright A Blind Limited,London,,United Kingdom,11-50 Employees,1991,"Bright A Blind specializes in solar shading solutions, offering a wide range of manual and motorized blinds, along with installation and maintenance services. They also provide a replacement blind service with over 20 exclusive brands."
Select Blinds,Tempe,,United States,51-100 Employees,2003,"SelectBlinds is a prominent online retailer offering a wide range of custom-made window coverings, including various types of blinds such as faux wood blinds and vertical blinds. With a reputation for high-quality products and competitive prices, SelectBlinds makes it easy to find and customize the perfect blinds for any home."
Mathéo Blinds & Awnings,Pretoria,,South Africa,11-50 Employees,2010,"Blind Professionals in SA specializes in the custom design, retail, and installation of various window treatments, including Roller Blinds, Duette Blinds, Wooden Blinds, and Motorised Blinds. Their commitment to high-quality products from leading brands ensures a diverse selection tailored to meet customer preferences and budgets."
Metro Blinds Draperies and Shutters,Fort Myers,,United States,11-50 Employees,1994,"Metro Blinds Draperies and Shutters specializes in high-quality interior window treatments, including a variety of blinds such as vertical, wood, and faux wood options. With over 25 years of experience, the company offers free in-home consultations and design assistance to help customers choose the perfect blinds for their spaces."
Thomas Sanderson,Havant,,United Kingdom,501-1000 Employees,1991,"The company specializes in bespoke blinds, including Pleated blinds that are custom-made to fit exact window specifications. Their range includes energy-saving options and features like remote operation, making them suitable for various settings, including bathrooms and conservatories."
SHY Shading,Letchworth,,United Kingdom,11-50 Employees,1986,"SHY specializes in designing and manufacturing bespoke commercial roller blinds, offering innovative shading solutions for various applications, including oversized and uniquely shaped windows. Their product range features systems like the SHY Zip Screen and Sunfacta roller blinds, with options for manual, electric, and automatic operation, ensuring tailored designs that meet specific customer needs."
