name,city,state,country,employees,founded,description
Umicore,Brussels,,Belgium,10001+ Employees,1904,"Umicore is focused on sustainability and recycling, particularly in the context of neodymium, which is known for its properties and applications. The company's commitment to providing materials of certified sustainable and ethical origin aligns with its broader strategy to lead in clean mobility materials and recycling efforts."
Yunsheng USA Inc.,South San Francisco,,United States,1001-5000 Employees,,"Yunsheng is a leading manufacturer of rare earth permanent magnets, particularly specializing in Neodymium (NdFeB) products. They offer a wide range of high energy magnet grades and have a significant global presence, recognized as the largest provider of NdFeB materials and magnetic assemblies in the world."
Arnold Magnetic Technologies,City of Rochester,,United States,501-1000 Employees,1898,"Arnold Magnetic Technologies is a leading manufacturer of neodymium magnets (NdFeB), which are known for their high energy product and are utilized in various applications such as high-performance motors, magnetic resonance imaging, and sensors. Their commitment to quality and innovation ensures a comprehensive range of neodymium magnet products."
CBMM,Araxá,,Brazil,1001-5000 Employees,1955,"CBMM specializes in niobium products and applications, emphasizing innovative technologies that promote sustainability and efficiency. Their commitment to research and development ensures high-quality niobium metal products, which may be relevant for applications involving advanced materials like neodymium."
Eclipse Magnetics,Sheffield,,United Kingdom,101-250 Employees,,"Eclipse Magnetics provides high-strength neodymium magnets, known for their superior magnetic performance. Their offerings include a range of neodymium magnet materials, highlighting the company's expertise in this area."
Rare Earth Elements LLC,Fredericksburg,,United States,1-10 Employees,,"Polaris Rare Earth Materials, LLC is a global manufacturer of rare earth materials, including neodymium, which is essential for various high-tech applications in sectors like automotive and consumer electronics. The company's commitment to quality control and environmental responsibility underscores its dedication to providing reliable and sustainable rare earth products."
"Hangzhou Zhijiang Magnetics Co., Ltd",Hangzhou City,,China,251-500 Employees,2000,"The company specializes in the production of rare earth permanent magnets, including Neodymium (NdFeB), and has established itself as a leading manufacturer in China. Their diverse product range and commitment to high-performance materials position them well in both domestic and international markets."
Goudsmit Magnetics,Waalre,,Netherlands,51-100 Employees,1959,"Goudsmit Magnetics specializes in the development and production of permanent neodymium (NdFeB) magnets, offering customer-specific solutions tailored to various applications. Their expertise includes providing insights into metal separation and conducting 3D magnet calculations and simulations, ensuring optimal magnet performance."
Dexter Magnetic Technologies,Elk Grove Village,,United States,101-250 Employees,1951,"Dexter Magnetic Technologies specializes in sintered neodymium-iron-boron (Nd-Fe-B) magnets, offering a resource page that includes detailed information on grades and properties. Their focus on quality and innovative design supports customers in their magnetic needs."
REEtec,Porsgrunn,,Norway,1-10 Employees,,"REEtec has developed an innovative process for manufacturing high-quality rare earth elements (REE), including neodymium. The company's commitment to establishing an industrial Rare Earth separation plant in Norway highlights its focus on producing essential materials like neodymium."
