name,city,state,country,employees,founded,description
GE Healthcare,Helsinki,,Finland,10001+ Employees,1892,"The company, GE HealthCare, specializes in anesthesia equipment, highlighting its commitment to this critical area in healthcare."
Anesthesia Service Inc.,United States,,United States,11-50 Employees,1956,"Anesthesia Service, Inc. is a key provider of anesthesia equipment and services across Oklahoma, Texas, Arkansas, and Southern Kansas, specializing in the maintenance and support of anesthesia systems from major brands. They also distribute a range of anesthesia and monitoring systems, along with medical gas solutions for various healthcare settings."
PS Anesthesia S.A.,Brandsen,,Argentina,51-100 Employees,1989,"Anesthesia is a specialized manufacturer of disposable medical devices for anesthesiology, offering customized anesthesia kits that comply with strict biosecurity standards. Their products enhance stock control and optimize surgical preparation, making them highly relevant for medical institutions seeking reliable and cost-effective anesthesia solutions."
Premier Anesthesia,Alpharetta,,United States,501-1000 Employees,,"Premier Anesthesia is a prominent provider of anesthesia management and consulting services, focusing on hospital-based practices. They offer comprehensive solutions, including anesthesia outsourcing and staffing, aimed at improving patient care and operational efficiency."
BPL Medical Technologies,Bengaluru,,India,501-1000 Employees,1967,"BPL Medical Technologies specializes in anesthesia equipment, offering advanced anesthesia workstations like the E-Flo and Penlon series. These workstations prioritize patient safety and provide precise control of gas flow and careful monitoring during surgical procedures, ensuring high-quality patient care."
Amico Group of Companies,Town of Babylon,,United States,1001-5000 Employees,1974,"Amico specializes in manufacturing medical products for healthcare facilities, including a range of anesthesia cart mounts. Their commitment to innovative solutions enhances patient care and supports optimal outcomes in medical settings."
Intersurgical,New York,,United States,1001-5000 Employees,1991,"Intersurgical specializes in respiratory care support, offering a range of medical devices for anesthesia and airway management. Their products are designed for use in emergency care, hospital settings, and home care, ensuring high quality and adherence to relevant standards."
Mercury Medical,Clearwater,,United States,51-100 Employees,1963,"Mercury Medical is a leading manufacturer of anesthesia equipment, including innovative airway management devices and anesthesia machines. Their commitment to providing high-quality, lifesaving medical technology positions them as a key player in the global healthcare market."
UCSF Department of Anesthesia and Perioperative Care,San Francisco,,United States,501-1000 Employees,1958,"The Department of Anesthesia and Perioperative Care at UC San Francisco is a leading provider in anesthesiology, focusing on optimizing perioperative outcomes through advanced practices and extensive research. They offer various fellowships in specialized areas of anesthesia, highlighting their commitment to training future leaders in the field."
United Anesthesia,Kernersville,,United States,1001-5000 Employees,1979,"United Anesthesia is dedicated to providing exceptional service to anesthesia providers and facility clients, specializing in the recruitment and placement of Certified Registered Nurse Anesthetists (CRNAs) and Anesthesiologists. With a long history in the industry, they focus on connecting anesthesia professionals with hospitals and surgery centers nationwide, ensuring that the unique demands of the anesthesia field are met effectively."
