name,city,state,country,employees,founded,description
Uranium One Inc.,Canada,,Canada,251-500 Employees,,"Uranium One is the world's fourth-largest uranium producer and is responsible for ROSATOM's uranium production outside the Russian Federation. The company emphasizes its commitment to environmental standards and sustainable practices, highlighting the role of nuclear energy in providing clean, carbon-free electricity essential for sustainable economic development."
Energy Fuels,Lakewood,,United States,51-100 Employees,1987,"Energy Fuels is the largest uranium miner in the U.S. and is actively increasing its uranium production to capitalize on strong market demand. The company emphasizes its role as a leading producer of uranium, which is essential for clean, emission-free nuclear energy."
Uranium Energy,Corpus Christi,,United States,11-50 Employees,2007,"Uranium Energy Corp (UEC) is a prominent uranium mining company in the United States, known for its rapid growth and operational efficiency, with two fully functional processing plants and a strong infrastructure that supports low-cost uranium production for emission-free electricity."
Orano,Paris,,France,10001+ Employees,2001,"Orano highlights the role of nuclear energy as a low-carbon source of electricity for the EU, which aligns with the region's goals for CO2 emissions reduction and energy security."
URENCO Group,United Kingdom,,United Kingdom,1001-5000 Employees,1970,"Urenco is a key supplier of uranium enrichment services for the civil nuclear industry, emphasizing its commitment to responsible uranium stewardship and environmental standards. With enrichment facilities in four countries, Urenco plays a vital role in providing reliable fuel cycle products that support low carbon electricity generation through nuclear power."
Rio Tinto,Melbourne,,Australia,10001+ Employees,1873,"The company is a manufacturer and service provider that specializes in the extraction and processing of various ores, which may include materials relevant to the uranium industry."
Centrus Energy,Bethesda,,United States,251-500 Employees,1998,"Centrus Energy is a key supplier of enriched uranium, providing reliable and diverse fuel sources that support the demand for clean, carbon-free electricity. The company also has significant expertise in uranium handling and is actively involved in developing next-generation nuclear fuel."
Ur-energy,Littleton,,United States,101-250 Employees,2004,"Ur-Energy is actively involved in the uranium sector, owning and operating the Lost Creek in-situ recovery facility in Wyoming, which has produced approximately 2.8 million pounds of U3O8. The company focuses on the exploration, development, and processing of uranium projects, including its newest project, the Shirley Basin."
Ultra Safe Nuclear,Seattle,,United States,251-500 Employees,2011,"Ultra Safe Nuclear Corporation (USNC) specializes in advanced nuclear technologies and fuels, particularly TRISO particle fuels, which are essential for clean and reliable nuclear energy production. Their focus on developing innovative nuclear reactors and fuels positions them as a key player in the transition to zero-carbon energy solutions."
BHP,Melbourne,,Australia,10001+ Employees,1851,"BHP is a leading mining company that produces essential raw materials like copper and thermal coal, and is expanding into potash production. Their commitment to sustainable operations supports the global transition to a more sustainable future."
