name,city,state,country,employees,founded,description
Insulation Solutions,New Delhi,,India,251-500 Employees,1973,"Insulation Solutions is a reliable manufacturer and supplier of insulation products and engineered plastics, offering customized solutions and a diverse range of semi-finished and finished products. Their focus on innovation and high-quality materials positions them as a key player in the thermal insulation market."
ALPAEROFLEXINDIA,Gurugram,,India,51-100 Employees,2011,"ALP Aeroflex provides a wide range of EPDM and NBR thermal insulation sheets and tubes, which are EPA approved and meet fire safety standards. Their lightweight materials offer anti-bacterial and anti-fungal properties, making them suitable for various industrial insulation needs."
Ace Thermal Insulation Ltd,United Kingdom,,United Kingdom,11-50 Employees,2021,"Ace Thermal Insulation specializes in providing expert thermal insulation services throughout the UK and Europe. With a team of experienced professionals and a commitment to high-quality products, they ensure excellent workmanship and seamless project delivery."
Insul-Therm-Mexico,Monterrey,,Mexico,251-500 Employees,2000,"Insul-Therm specializes in the marketing, distribution, and transformation of thermal insulation products for industrial and commercial use, including ceramic fiber and pipe insulation. Their offerings also encompass a range of related products and technical advisory services."
Saint-Gobain Technical Insulation,Courbevoie,,France,10001+ Employees,1937,"Saint-Gobain Technical Insulation specializes in providing sustainable thermal insulation solutions, with its ISOVER brand offering a wide range of mineral wool products designed for high performance and environmental responsibility. Their commitment to reducing carbon footprints through innovative materials and recycling aligns with the growing demand for effective thermal insulation."
Powertherm Contract Services,Sheffield,,United Kingdom,251-500 Employees,1989,"Powertherm is an industry leader in thermal insulation services, offering a range of flexible insulation products tailored for the Power Generation and Petrochemical industries. Their innovative solutions are designed for easy installation and maintenance, ensuring optimal performance and prolonged asset life cycles."
Carefree Insulations Ltd,Borough of Runnymede,,United Kingdom,1-10 Employees,2016,"Carefree Insulations Ltd is a specialized thermal insulation contractor that provides a variety of thermal insulation solutions, particularly in HVAC and finishing specifications. They are dedicated to high-quality workmanship and expertise in the field."
Poplar Insulation Ltd,Bristol,,United Kingdom,11-50 Employees,1995,"The company, Poplar Insulation, specializes in thermal insulation services for various sectors, including industrial, commercial, and education. With over 20 years of experience, they ensure high standards in installation and innovation throughout England and Wales."
Knauf Insulation North America,Shelbyville,,United States,1001-5000 Employees,1978,"The company specializes in innovative insulation solutions, highlighting their JetSpray™ Thermal Spray-On Insulation System, which offers a quick, lightweight, and safe method for thermal insulation."
Irex Corporation,United States,,United States,1001-5000 Employees,1860,"Irex Contracting Group specializes in thermal insulation services across various industries, including commercial, oil and gas, and power sectors. Their commitment to quality and safety makes them a reliable choice for thermal insulation needs."
