name,city,state,country,employees,founded,description
Arup,London,,United Kingdom,10001+ Employees,1946,"Arup is dedicated to sustainable development and specializes in climate change resilience and adaptation, offering a range of professional services that support innovative solutions in sectors like infrastructure and energy."
Adaptation Leader,Washington,,United States,11-50 Employees,,"The company specializes in climate adaptation and resilience solutions, offering strategic planning, research, and workshops to help organizations implement effective climate adaptation actions. With a global team of experts, they support leaders in developing and executing strategies to thrive in a changing climate."
Adaptation International,Austin,,United States,1-10 Employees,2010,"Adaptation International specializes in climate change adaptation, providing tools and strategies to help communities and organizations prepare for its impacts. Their expertise includes climate science and the development of adaptation strategies, making them a key resource for enhancing climate resilience."
Climate Adaptation Platform,Timaru,,New Zealand,1-10 Employees,2016,"The Climate Adaptation Platform is dedicated to providing resources and support for climate adaptation efforts, emphasizing the importance of resilience in the face of climate change. They offer a variety of materials, including research papers and case studies, to educate and connect individuals and organizations involved in adaptation initiatives."
Climate Adaptation Works,London,,United Kingdom,1-10 Employees,2010,"Climate Adaptation Works specializes in assessing climate impacts and developing effective adaptation strategies. Their services, including Climate Vulnerability Assessment and Adaptation Strategy Valuation, support various sectors in enhancing resilience against climate change."
Adapta Climate Consulting APAC UK EMEA,Sydney,,Australia,1-10 Employees,2020,"Adapta specializes in climate change risk management, offering tailored strategies that empower organizations to effectively adapt to climate impacts. Their services include climate risk assessment and scenario analysis, helping clients navigate environmental risks and opportunities while aligning with international sustainability standards."
Adaptation Learning Network,Victoria,,Canada,1-10 Employees,2019,"CanAdapt is a dedicated hub for climate adaptation, providing training and resources that empower individuals and communities to effectively respond to climate change."
PlanAdapt,Berlin,,Germany,11-50 Employees,2015,"PlanAdapt is a global organization that specializes in climate change adaptation and risk management, particularly in the Global South. They offer advisory services and research to help various sectors integrate climate risks into their strategies, promoting effective and inclusive adaptation practices."
Adaptation Ledger Ltd,London,,United Kingdom,11-50 Employees,2018,Adaptation Ledger Ltd specializes in climate adaptation by providing integrated solutions that enhance resilience through innovative technologies like Blockchain and Smart Standards. Their approach includes strategic planning and collaborative initiatives to accelerate climate action and improve vulnerability reduction.
Eco-Adapt,Paris,,France,11-50 Employees,2012,"Eco-Adapt is a specialized service provider that focuses on energy efficiency, which is a crucial aspect of climate adaptation. Their innovative technologies and consulting services help clients enhance energy use, contributing to more sustainable practices in response to climate challenges."
