name,city,state,country,employees,founded,description
Union Fabrics Pvt. Ltd,-,,-,,,"Union Fabrics is a specialized manufacturer and exporter of woven fabrics, offering a diverse range for sectors like home textiles and bedding. With a significant annual weaving production capacity, the company ensures high-quality fabrics in various forms."
Fabricato,Medellín,,Colombia,1001-5000 Employees,1920,"The company, a Colombian manufacturer, offers a diverse range of woven fabrics, including Twills and Poplins, which are ideal for various garments and accessories, particularly in the fashion and jeanswear sectors. With a strong emphasis on quality and sustainability, they cater to the needs of designers and manufacturers."
Padma Textiles,Dar es-Salaam,,Tanzania,1001-5000 Employees,1995,"The company specializes in high-quality woven non-denim bottoms and shirts, highlighting their expertise in woven fabrics. Their commitment to bespoke design and sustainability further enhances their offerings in the apparel and fashion industry."
Dinesh Exports Private Limited,India,,India,251-500 Employees,1990,"Dinesh Exports is a leading online manufacturer and exporter of woven fabrics in India, offering a diverse range of materials including cotton, polyester, and various sustainable options. With over 25 years of experience, they cater to both international and domestic brands, making it easier to source high-quality woven fabrics online."
Freudenberg & Vilene International Ltd,United States,,United States,501-1000 Employees,,"Freudenberg Performance Materials is a global leader in woven interlinings, offering a wide range of over 1,200 high-quality woven products for the apparel industry."
Z-Wovens Fabrics,High Point,,United States,501-1000 Employees,,"Z-Wovens is a manufacturer that specializes in creating unique woven fabrics that blend beauty, luxury, comfort, and practicality for a variety of indoor and outdoor settings."
Woven,Marikina,,Philippines,1-10 Employees,2016,"Woven is a social enterprise that specializes in weaving handcrafted products using materials like tikog and buri, empowering artisans in the Philippines and promoting sustainable practices. By providing training and ensuring fair pricing, Woven enhances the artisans' skills and creates economic opportunities while celebrating traditional crafts and cultural heritage."
Valdese Weavers,Valdese,,United States,501-1000 Employees,1915,"Valdese Weavers is a premier source of decorative fabrics, specializing in innovative and responsibly woven textiles for both residential and contract markets. The company's commitment to sustainability and continuous product advancement highlights their dedication to quality and environmental responsibility."
Texon International Group,Saltburn by the Sea,,United Kingdom,501-1000 Employees,1947,"Texon is a prominent manufacturer of innovative materials, including ProWeave, which features advanced jacquard fabrics that integrate different zones of elasticity and stability, making it highly relevant for applications in woven fabric design. The company's commitment to sustainability and high-performance solutions further enhances its appeal in the textile industry."
Well Woven,New York,,United States,51-100 Employees,2014,"Well Woven specializes in a wide variety of rugs, including customizable and outdoor options, highlighting their commitment to craftsmanship and diverse styles. Their innovative approach ensures that each rug enhances both indoor and outdoor spaces with quality and aesthetic appeal."
