name,city,state,country,employees,founded,description
Hanson Aggregates,Irving,,United States,10001+ Employees,1968,"Heidelberg Materials is a leading provider of cement and construction materials, emphasizing its commitment to sustainability and innovative solutions. The company produces both Portland and General use cement, highlighting its capability to meet diverse construction needs."
Trinidad Cement Limited,Trinidad and Tobago,,Trinidad and Tobago,,,"Trinidad Cement Limited (TCL) commenced production of Ordinary Portland Cement in 1954 and has since significantly increased its annual production capacity to 550,000 tonnes."
CEMEX Egypt,First Al Hamra',,Egypt,1001-5000 Employees,1999,"CEMEX Egypt has evolved from a local cement firm into a leading global building solutions company, highlighting its extensive experience and professional services that can meet diverse construction needs, including white cement."
Quickrete,Atlanta,,United States,1001-5000 Employees,1940,"QUIKRETE is the largest manufacturer of packaged concrete, offering a variety of products including concrete mixes, mortars, and stucco. Their resources, such as Project Selector Guides and how-to videos, can assist in choosing the right cement products for DIY projects."
PPC RDC,Aketi,,Democratic Republic of the Congo,251-500 Employees,1892,"PPC Group has a significant annual production capacity of approximately eleven and a half million tonnes of cement products, offering a diverse range of high-quality cement under the PPC SURE RANGE, which caters to various building needs. Additionally, PPC's extensive presence in the readymix sector and its production of aggregates further supports its role in the construction industry."
Cement Australia,Greater Brisbane,,Australia,1001-5000 Employees,,"Cement Australia is a leading supplier of cementitious products, offering a variety of cements, including General Purpose Cement, which is essential for various construction applications."
Aggregate Industries,Hinckley and Bosworth,,United Kingdom,11-50 Employees,1997,"The company emphasizes its commitment to sustainability and decarbonization within the construction industry. They produce Portland Limestone Cement, which is particularly suitable for architectural concrete due to its lighter color compared to traditional Portland Cement."
Hanson,Maidenhead,,United Kingdom,1001-5000 Employees,1964,"Hanson Cement, part of Heidelberg Materials, is a leading supplier of Portland Cement and offers a wide range of cement products suitable for various applications. They provide flexible delivery options and have a dedicated technical support team to assist customers with their cement needs."
Republic Cement,Taguig,,Philippines,10001+ Employees,1955,"Republic Cement Group is a manufacturer of high-quality cement in the Philippines, offering various types of cement and building materials. With multiple manufacturing sites, the company ensures a reliable supply to meet the local construction market's demands."
Gcc,Glendale,,United States,1001-5000 Employees,1941,"GCC is a key player in the cement industry, producing a variety of cements, including PLC/IL, which is designed for general use and incorporates finely ground limestone for enhanced performance. This makes GCC a valuable partner for construction projects of all sizes, offering solutions that align with sustainable building practices."
