name,city,state,country,employees,founded,description
Pacific Hardwood,United States,,United States,251-500 Employees,1986,"Pacific Hardwood is a leading manufacturer of both engineered and solid hardwood flooring, offering a wide selection of high-quality products crafted to meet exact specifications. Their advanced automated manufacturing center ensures quick delivery and meticulous attention to detail, making them a top choice for those seeking durable and elegant hardwood flooring."
Hardwood Floor Store,Lancaster,,United Kingdom,11-50 Employees,1998,"Hardwood Floor Store offers a diverse selection of solid and engineered hardwood flooring from top European brands, ensuring immediate availability for quick delivery. Their products cater to various budgets and include DIY-friendly options, making it an ideal choice for both first-time buyers and enthusiasts."
Real Floors,Marietta,,United States,501-1000 Employees,1987,"Real Floors specializes in wood installation and refinishing services, making them a reliable choice for hardwood flooring solutions. With a commitment to exceptional customer service, they also offer a range of flooring products for immediate installation."
Get Flooring,Schaumburg,,United States,11-50 Employees,2009,"Get Flooring is a specialized manufacturer and service provider of flooring solutions, including hardwood flooring, for residential and commercial projects. With over 11 years of experience and a commitment to quality, the company has established itself as a trusted name in the industry."
Floorart Parquetry,Isle of Man,,Isle of Man,,,"Floorart Parquetry is a global supplier and manufacturer of hardwood engineered flooring, offering a diverse range of products that cater to both residential and commercial spaces. Their specialization in wooden and timber products, including hevea flooring and engineered hardwood, highlights their expertise in the hardwood flooring sector."
Western Flooring + Hardwood,Redmond,,United States,11-50 Employees,,"Western Flooring + Hardwood is a leading commercial hardwood flooring contractor in the Western United States, specializing in projects for corporate offices, luxury hotels, retail spaces, and educational institutions. They offer design, consultation, and precision installation services."
BC Hardwood,Vancouver,,Canada,11-50 Employees,1904,"The company specializes in supplying and installing premium hardwood floors, offering customized solutions for renovations and restorations. With the largest installation team in Vancouver, it ensures high-quality service and craftsmanship, making it a leader in hardwood flooring solutions."
Wholesale Woodfloor Warehouse,Santa Ana,,United States,51-100 Employees,2008,"Wholesale Woodfloor Warehouse Corporation offers a diverse selection of wholesale hardwood flooring options, featuring various styles and finishes at competitive prices."
Harris Flooring Group,United States,,United States,251-500 Employees,,"Harris Flooring Group offers a diverse selection of engineered hardwood flooring, showcasing their expertise and commitment to style and function. With over 200 years of experience, they provide high-quality flooring options that reflect current home design trends."
Unique Wood Floors,Bloomington,,United States,11-50 Employees,2003,"Unique Wood Floors specializes in providing a distinctive range of hardwood flooring that combines durability, beauty, and health safety, making it an excellent choice for both homes and businesses. Their commitment to sourcing from the finest suppliers ensures that customers have access to high-quality, stylish wood products."
